supplier_id,supplier_name,supplier_type,region,country,city,payment_terms_days,lead_time_days_contracted,performance_tier,category_specialty,active_since,contact_email
SUP001,Arrow Electronics,Distributor,Americas,USA,Denver,45,14,A,Broad Line,3/15/18,orders@arrowelectronics.com
SUP002,Avnet Inc,Distributor,Americas,USA,Phoenix,45,14,A,Broad Line,6/1/17,purchasing@avnet.com
SUP003,Digi-Key Electronics,Distributor,Americas,USA,Thief River Falls,30,7,A,Broad Line,1/10/16,sales@digikey.com
SUP004,Mouser Electronics,Distributor,Americas,USA,Mansfield,30,7,A,Broad Line,9/22/17,orders@mouser.com
SUP005,TTI Inc,Distributor,Americas,USA,Fort Worth,45,10,A,Passives/Connectors,2/14/19,supply@ttiinc.com
SUP006,Future Electronics,Distributor,Americas,Canada,Montreal,45,12,B,Broad Line,5/18/20,orders@futureelectronics.com
SUP007,Murata Manufacturing,Manufacturer,Asia,Japan,Kyoto,60,42,A,Passives-MLCC,8/1/15,globalsales@murata.com
SUP008,TDK Corporation,Manufacturer,Asia,Japan,Tokyo,60,45,A,Passives-MLCC,3/20/16,electronics@tdk.com
SUP009,Samsung Electro-Mechanics,Manufacturer,Asia,South Korea,Suwon,60,49,B,Passives-MLCC,11/5/19,components@sem.samsung.com
SUP010,Yageo Corporation,Manufacturer,Asia,Taiwan,New Taipei City,45,35,B,Passives-Resistors,7/12/18,sales@yageo.com
SUP011,Vishay Intertechnology,Manufacturer,Americas,USA,Malvern,45,28,A,Passives-Resistors,4/8/17,orders@vishay.com
SUP012,KEMET Corporation,Manufacturer,Americas,USA,Fort Lauderdale,45,30,B,Passives-Capacitors,11/30/18,sales@kemet.com
SUP013,Panasonic Industrial,Manufacturer,Asia,Japan,Osaka,60,42,A,Passives-Capacitors,9/15/16,industrial@panasonic.com
SUP014,Nichicon Corporation,Manufacturer,Asia,Japan,Kyoto,60,45,B,Passives-Capacitors,6/22/19,export@nichicon.com
SUP015,Texas Instruments,Manufacturer,Americas,USA,Dallas,45,56,A,Semiconductors-Analog,1/15/15,purchasing@ti.com
SUP016,Analog Devices,Manufacturer,Americas,USA,Wilmington,45,52,A,Semiconductors-Analog,5/10/16,orders@analog.com
SUP017,STMicroelectronics,Manufacturer,Europe,Switzerland,Geneva,60,63,B,Semiconductors-MCU,8/25/17,sales@st.com
SUP018,NXP Semiconductors,Manufacturer,Europe,Netherlands,Eindhoven,60,58,A,Semiconductors-MCU,11/18/16,supply@nxp.com
SUP019,Microchip Technology,Manufacturer,Americas,USA,Chandler,45,49,A,Semiconductors-MCU,2/28/17,orders@microchip.com
SUP020,Infineon Technologies,Manufacturer,Europe,Germany,Munich,60,56,B,Semiconductors-Power,4/12/18,sales@infineon.com
SUP021,ON Semiconductor,Manufacturer,Americas,USA,Phoenix,45,42,B,Semiconductors-Power,1/8/19,purchasing@onsemi.com
SUP022,ROHM Semiconductor,Manufacturer,Asia,Japan,Kyoto,60,49,C,Semiconductors-Power,3/15/20,sales@rohm.com
SUP023,TE Connectivity,Manufacturer,Americas,USA,Schaffhausen,45,21,A,Connectors,7/20/16,orders@te.com
