po_number,po_date,supplier_id,buyer_id,plant,total_value,currency,status,payment_terms_days,notes
PO-2023-00001,1/3/23,SUP007,BUY01,AUSTIN,4850,USD,Closed,60,Standard quarterly order
PO-2023-00002,1/5/23,SUP015,BUY02,AUSTIN,12500,USD,Closed,45,TI analog ICs restock
PO-2023-00003,1/8/23,SUP003,BUY01,AUSTIN,2340,USD,Closed,30,Digi-Key spot buy
PO-2023-00004,1/10/23,SUP023,BUY03,GUADALAJARA,5600,USD,Closed,45,TE connectors bulk
PO-2023-00005,1/12/23,SUP010,BUY01,AUSTIN,890,USD,Closed,45,Yageo resistors
PO-2023-00006,1/15/23,SUP017,BUY02,AUSTIN,18750,USD,Closed,60,STM32 MCU order
PO-2023-00007,1/18/23,SUP025,BUY03,GUADALAJARA,3200,USD,Closed,45,Molex connectors
PO-2023-00008,1/20/23,SUP011,BUY01,AUSTIN,1450,USD,Closed,45,Vishay resistors
PO-2023-00009,1/23/23,SUP033,BUY02,AUSTIN,2800,USD,Closed,45,Littelfuse protection
PO-2023-00010,1/25/23,SUP007,BUY01,GUADALAJARA,6200,USD,Closed,60,Murata MLCC Q1
PO-2023-00011,1/28/23,SUP019,BUY02,AUSTIN,8500,USD,Closed,45,Microchip MCU restock
PO-2023-00012,2/1/23,SUP008,BUY01,AUSTIN,4200,USD,Closed,60,TDK passives
PO-2023-00013,2/3/23,SUP016,BUY02,AUSTIN,15600,USD,Closed,45,ADI precision analog
PO-2023-00014,2/6/23,SUP024,BUY03,GUADALAJARA,4800,USD,Closed,45,Amphenol connectors
PO-2023-00015,2/8/23,SUP012,BUY01,AUSTIN,3100,USD,Closed,45,KEMET capacitors
PO-2023-00016,2/10/23,SUP038,BUY03,AUSTIN,2400,USD,Closed,60,Omron relays
PO-2023-00017,2/13/23,SUP028,BUY01,GUADALAJARA,1850,USD,Closed,45,Wurth inductors
PO-2023-00018,2/15/23,SUP003,BUY02,AUSTIN,5600,USD,Closed,30,Spot buy ESP32 modules
PO-2023-00019,2/18/23,SUP046,BUY01,AUSTIN,980,USD,Closed,45,Jiangsu discretes
PO-2023-00020,2/20/23,SUP007,BUY01,AUSTIN,7800,USD,Closed,60,Murata MLCC urgent
PO-2023-00021,2/23/23,SUP015,BUY02,GUADALAJARA,9200,USD,Closed,45,TI power management
PO-2023-00022,2/25/23,SUP029,BUY01,AUSTIN,4500,USD,Closed,30,Coilcraft inductors
PO-2023-00023,2/28/23,SUP023,BUY03,AUSTIN,6800,USD,Closed,45,TE USB-C connectors
PO-2023-00024,3/2/23,SUP017,BUY02,AUSTIN,22000,USD,Closed,60,STM32 production run
PO-2023-00025,3/5/23,SUP009,BUY01,GUADALAJARA,3400,USD,Closed,60,Samsung MLCC alt source
PO-2023-00026,3/8/23,SUP033,BUY02,AUSTIN,1900,USD,Closed,45,TVS diodes restock
PO-2023-00027,3/10/23,SUP025,BUY03,AUSTIN,4100,USD,Closed,45,Molex FFC connectors
PO-2023-00028,3/13/23,SUP010,BUY01,AUSTIN,1200,USD,Closed,45,Yageo chip resistors
PO-2023-00029,3/15/23,SUP016,BUY02,GUADALAJARA,8900,USD,Closed,45,ADI InAmps
PO-2023-00030,3/18/23,SUP041,BUY01,AUSTIN,650,USD,Closed,45,Sunlord inductors trial
PO-2023-00031,3/20/23,SUP007,BUY01,AUSTIN,5400,USD,Closed,60,Murata ferrite beads
PO-2023-00032,3/23/23,SUP019,BUY02,AUSTIN,11200,USD,Closed,45,PIC MCU bulk order
PO-2023-00033,3/25/23,SUP024,BUY03,GUADALAJARA,3600,USD,Closed,45,Amphenol USB
PO-2023-00034,3/28/23,SUP008,BUY01,AUSTIN,5800,USD,Closed,60,TDK inductors power
PO-2023-00035,3/30/23,SUP003,BUY02,AUSTIN,8200,USD,Closed,30,Digi-Key mixed order
PO-2023-00036,4/3/23,SUP015,BUY02,GUADALAJARA,14500,USD,Closed,45,TI Q2 order
PO-2023-00037,4/5/23,SUP012,BUY01,AUSTIN,4600,USD,Closed,45,KEMET tantalum
PO-2023-00038,4/8/23,SUP023,BUY03,AUSTIN,7200,USD,Closed,45,TE industrial conn
PO-2023-00039,4/10/23,SUP017,BUY02,AUSTIN,16800,USD,Closed,60,STM32G0 series
PO-2023-00040,4/13/23,SUP028,BUY01,GUADALAJARA,2200,USD,Closed,45,Wurth EMC components
PO-2023-00041,4/15/23,SUP007,BUY01,AUSTIN,8900,USD,Closed,60,Murata Q2 MLCC
PO-2023-00042,4/18/23,SUP011,BUY01,AUSTIN,2100,USD,Closed,45,Vishay CRCW series
PO-2023-00043,4/20/23,SUP047,BUY02,GUADALAJARA,3800,USD,Closed,60,Nexperia discretes
PO-2023-00044,4/23/23,SUP025,BUY03,AUSTIN,5400,USD,Closed,45,Molex pico-blade
PO-2023-00045,4/25/23,SUP033,BUY02,AUSTIN,2600,USD,Closed,45,Littelfuse PTC
PO-2023-00046,4/28/23,SUP016,BUY02,AUSTIN,12400,USD,Closed,45,ADI power monitors
PO-2023-00047,5/2/23,SUP009,BUY01,GUADALAJARA,4200,USD,Closed,60,Samsung MLCC bulk
PO-2023-00048,5/5/23,SUP019,BUY02,AUSTIN,7600,USD,Closed,45,ATMEGA production
PO-2023-00049,5/8/23,SUP003,BUY01,AUSTIN,6400,USD,Closed,30,Crystals and modules
